Term	TermFreq >= 1	PosClassDiff (correct-estimate)	NegClassDiff	PosClassAvDiff	NegClassAvDiff	CorrectClass1pos	CorrectClass2pos	CorrectClass3pos	CorrectClass4pos	CorrectClass5pos	CorrectClass1neg	CorrectClass2neg	CorrectClass3neg	CorrectClass4neg	CorrectClass5neg	
picking	3	0	-1	0.0	-0.33333334	0	2	1	0	0	3	0	0	0	0	
copies	2	-3	0	-1.5	0.0	0	1	1	0	0	2	0	0	0	0	
support	22	-17	-3	-0.77272725	-0.13636364	12	3	5	2	0	20	2	0	0	0	
@socolaura	1	-1	-1	-1.0	-1.0	1	0	0	0	0	1	0	0	0	0	
bacon	1	-1	-1	-1.0	-1.0	1	0	0	0	0	1	0	0	0	0	
@msjenniewalker	1	1	0	1.0	0.0	0	0	1	0	0	1	0	0	0	0	
800	3	1	0	0.33333334	0.0	2	0	1	0	0	3	0	0	0	0	
musical	1	1	0	1.0	0.0	0	0	1	0	0	1	0	0	0	0	
artist	5	-2	0	-0.4	0.0	3	0	2	0	0	5	0	0	0	0	
@thenovicechef	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
@thehockeygeek	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
@sqlchicken	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
long	26	-10	9	-0.3846154	0.34615386	11	9	6	0	0	7	11	8	0	0	
b4	8	0	-1	0.0	-0.125	3	4	1	0	0	4	4	0	0	0	
invest	4	-1	1	-0.25	0.25	3	1	0	0	0	3	1	0	0	0	
repairs	2	0	1	0.0	0.5	1	1	0	0	0	1	1	0	0	0	
buying	4	-1	2	-0.25	0.5	2	2	0	0	0	2	2	0	0	0	
@mcrebouche	1	-1	0	-1.0	0.0	0	1	0	0	0	0	1	0	0	0	
wonderland	3	-4	0	-1.3333334	0.0	0	1	2	0	0	2	1	0	0	0	
lesson	5	-1	-1	-0.2	-0.2	3	2	0	0	0	3	1	0	1	0	
later	14	-4	5	-0.2857143	0.35714287	6	7	1	0	0	5	4	4	1	0	
fucking	11	0	1	0.0	0.09090909	9	2	0	0	0	1	2	3	5	0	
expensive	3	0	-1	0.0	-0.33333334	3	0	0	0	0	1	0	1	1	0	
3jn3c	1	0	0	0.0	0.0	1	0	0	0	0	0	0	0	1	0	
speech	5	0	-1	0.0	-0.2	2	2	1	0	0	4	1	0	0	0	
prayers	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
@briemory	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
woohoo	2	0	0	0.0	0.0	0	0	2	0	0	2	0	0	0	0	
attitude	2	-1	1	-0.5	0.5	1	1	0	0	0	0	1	1	0	0	
winner	12	-6	0	-0.5	0.0	4	7	1	0	0	11	1	0	0	0	
gaurenteed	1	0	0	0.0	0.0	0	1	0	0	0	0	1	0	0	0	
male	4	0	1	0.0	0.25	3	1	0	0	0	3	0	1	0	0	
faggish	1	0	2	0.0	2.0	1	0	0	0	0	0	0	1	0	0	
@heyshaybaby	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
thankathon	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@imageartifacts	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@elpsilva	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@mohlat	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@viral_desai	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@ultimate_music	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@espressodom	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@photo_john	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@sergeyus	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
znl	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
p349na	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@jwilliams252722	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
woke	4	-2	-1	-0.5	-0.25	1	3	0	0	0	4	0	0	0	0	
yr	3	-2	0	-0.6666667	0.0	1	2	0	0	0	2	1	0	0	0	
milkshake	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
complete	11	-1	3	-0.09090909	0.27272728	2	8	1	0	0	5	3	3	0	0	
judging	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
karma	3	-1	-2	-0.33333334	-0.6666667	2	1	0	0	0	3	0	0	0	0	
claims	2	2	2	1.0	1.0	0	1	1	0	0	0	2	0	0	0	
lie	7	-2	1	-0.2857143	0.14285715	3	3	1	0	0	1	4	2	0	0	
twables	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
twotweetslie	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
katelyn5096	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
@mikehoughuk	2	-1	0	-0.5	0.0	0	1	0	1	0	2	0	0	0	0	
like's	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
@rebeccainspir	1	1	0	1.0	0.0	0	0	1	0	0	1	0	0	0	0	
kim	3	-1	0	-0.33333334	0.0	2	1	0	0	0	3	0	0	0	0	
lighters	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
ku5oe	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
cheering	1	-1	-1	-1.0	-1.0	0	0	1	0	0	0	0	1	0	0	
heels	4	-2	0	-0.5	0.0	2	0	2	0	0	2	0	2	0	0	
@tarheelblueinar	1	-1	-1	-1.0	-1.0	0	0	1	0	0	0	0	1	0	0	
losing	9	-3	-10	-0.33333334	-1.1111112	4	2	3	0	0	2	3	4	0	0	
tough	3	-4	-2	-1.3333334	-0.6666667	0	0	3	0	0	0	1	2	0	0	
pierced	2	1	0	0.5	0.0	1	1	0	0	0	1	1	0	0	0	
hells	1	1	0	1.0	0.0	0	1	0	0	0	1	0	0	0	0	
ran	3	0	-1	0.0	-0.33333334	2	0	1	0	0	2	1	0	0	0	
5k	1	1	0	1.0	0.0	0	0	1	0	0	1	0	0	0	0	
19s	1	1	0	1.0	0.0	0	0	1	0	0	1	0	0	0	0	
temp	3	1	0	0.33333334	0.0	2	0	1	0	0	3	0	0	0	0	
comparing	2	-1	0	-0.5	0.0	2	0	0	0	0	2	0	0	0	0	
zillow	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
nar	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
perspectives	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
estate	3	-1	0	-0.33333334	0.0	3	0	0	0	0	3	0	0	0	0	
dkut4r	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
@woothemes	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
liking	4	-4	1	-1.0	0.25	0	4	0	0	0	2	2	0	0	0	
woo	5	1	0	0.2	0.0	0	2	2	1	0	5	0	0	0	0	
menus	2	-2	0	-1.0	0.0	0	2	0	0	0	2	0	0	0	0	
@perezhilton	2	0	0	0.0	0.0	1	0	1	0	0	1	1	0	0	0	
weekly	7	-1	0	-0.14285715	0.0	6	1	0	0	0	6	1	0	0	0	
asks	2	-1	0	-0.5	0.0	2	0	0	0	0	1	1	0	0	0	
mayer's	1	-1	0	-1.0	0.0	1	0	0	0	0	0	1	0	0	0	
playboy	1	-1	0	-1.0	0.0	1	0	0	0	0	0	1	0	0	0	
uses	3	-2	1	-0.6666667	0.33333334	2	1	0	0	0	1	1	1	0	0	
slur	1	-1	0	-1.0	0.0	1	0	0	0	0	0	1	0	0	0	
9jydwb	1	-1	0	-1.0	0.0	1	0	0	0	0	0	1	0	0	0	
master	5	-4	0	-0.8	0.0	4	1	0	0	0	5	0	0	0	0	
opens	3	-1	0	-0.33333334	0.0	2	1	0	0	0	2	1	0	0	0	
gates	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
happiness	10	-9	2	-0.9	0.2	1	7	2	0	0	4	5	1	0	0	
qcp	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
report	3	0	-2	0.0	-0.6666667	2	1	0	0	0	2	1	0	0	0	
offline	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
businesses	3	0	0	0.0	0.0	1	2	0	0	0	3	0	0	0	0	
cash	2	0	0	0.0	0.0	1	1	0	0	0	2	0	0	0	0	
76oqm7	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
@labiba_	1	-1	1	-1.0	1.0	0	1	0	0	0	0	0	1	0	0	
aw	13	-7	4	-0.53846157	0.30769232	4	3	6	0	0	6	6	1	0	0	
chill	3	-1	2	-0.33333334	0.6666667	2	1	0	0	0	0	1	2	0	0	
@ahnanymis	1	-2	-1	-2.0	-1.0	1	0	0	0	0	0	1	0	0	0	
@msqueenparis	1	-2	-1	-2.0	-1.0	1	0	0	0	0	0	1	0	0	0	
mike	5	-1	-1	-0.2	-0.2	4	1	0	0	0	2	3	0	0	0	
epps	1	-2	-1	-2.0	-1.0	1	0	0	0	0	0	1	0	0	0	
hurtin	1	-2	-1	-2.0	-1.0	1	0	0	0	0	0	1	0	0	0	
smh	17	-7	-2	-0.4117647	-0.11764706	11	5	1	0	0	3	8	6	0	0	
picture	9	0	-1	0.0	-0.11111111	6	1	2	0	0	7	2	0	0	0	
shooting	3	-2	-1	-0.6666667	-0.33333334	3	0	0	0	0	2	0	0	1	0	
accident	1	-1	-1	-1.0	-1.0	1	0	0	0	0	1	0	0	0	0	
states	5	1	-2	0.2	-0.4	2	3	0	0	0	5	0	0	0	0	
bb	4	-1	0	-0.25	0.0	3	1	0	0	0	3	1	0	0	0	
saved	3	-1	-1	-0.33333334	-0.33333334	1	1	0	1	0	3	0	0	0	0	
womans	1	-1	-1	-1.0	-1.0	1	0	0	0	0	1	0	0	0	0	
tearing	2	2	3	1.0	1.5	0	1	0	1	0	0	0	2	0	0	
apart	4	-2	2	-0.5	0.5	1	3	0	0	0	3	0	1	0	0	
library	5	0	2	0.0	0.4	3	2	0	0	0	3	1	1	0	0	
arm	3	-2	2	-0.6666667	0.6666667	2	1	0	0	0	2	0	1	0	0	
couch	1	0	2	0.0	2.0	0	1	0	0	0	0	0	1	0	0	
jeez	1	0	2	0.0	2.0	0	1	0	0	0	0	0	1	0	0	
@vermontaigne	1	-1	0	-1.0	0.0	0	1	0	0	0	0	1	0	0	0	
eau	1	-1	0	-1.0	0.0	0	1	0	0	0	0	1	0	0	0	
claire	1	-1	0	-1.0	0.0	0	1	0	0	0	0	1	0	0	0	
boringmovies	1	-1	0	-1.0	0.0	0	1	0	0	0	0	1	0	0	0	
quality	3	-4	0	-1.3333334	0.0	1	1	0	1	0	2	0	0	1	0	
bff	3	-5	-1	-1.6666666	-0.33333334	0	0	2	1	0	2	1	0	0	0	
@beautifuldomie	1	-1	-1	-1.0	-1.0	0	0	0	1	0	1	0	0	0	0	
touchy	1	-1	-1	-1.0	-1.0	0	0	0	1	0	1	0	0	0	0	
feely	1	-1	-1	-1.0	-1.0	0	0	0	1	0	1	0	0	0	0	
@chris__chambers	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
who's	7	1	1	0.14285715	0.14285715	3	4	0	0	0	5	1	1	0	0	
dream	9	-1	-1	-0.11111111	-0.11111111	4	2	3	0	0	8	1	0	0	0	
serve	4	-1	0	-0.25	0.0	3	1	0	0	0	4	0	0	0	0	
@toughfl	1	-2	0	-2.0	0.0	1	0	0	0	0	1	0	0	0	0	
dang	2	-2	0	-1.0	0.0	2	0	0	0	0	1	0	1	0	0	
bangladesh	1	0	-1	0.0	-1.0	1	0	0	0	0	0	0	1	0	0	
clamps	1	0	-1	0.0	-1.0	1	0	0	0	0	0	0	1	0	0	
deadly	1	0	-1	0.0	-1.0	1	0	0	0	0	0	0	1	0	0	
campus	1	0	-1	0.0	-1.0	1	0	0	0	0	0	0	1	0	0	
violence	2	0	-3	0.0	-1.5	2	0	0	0	0	0	1	1	0	0	
99s7yb	1	0	-1	0.0	-1.0	1	0	0	0	0	0	0	1	0	0	
nikon	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
24m	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
4g	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
ed	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
af	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
rf	2	0	0	0.0	0.0	2	0	0	0	0	2	0	0	0	0	
swm	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
prime	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
wide	4	0	-1	0.0	-0.25	2	2	0	0	0	3	1	0	0	0	
angle	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
nikor	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
lens	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
digital	5	-2	0	-0.4	0.0	3	2	0	0	0	5	0	0	0	0	
slr	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
cameras	3	0	0	0.0	0.0	3	0	0	0	0	3	0	0	0	0	
ct4ya	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
tsunami	6	0	2	0.0	0.33333334	5	1	0	0	0	5	0	1	0	0	
choosing	1	1	0	1.0	0.0	0	1	0	0	0	1	0	0	0	0	
wahm	1	1	0	1.0	0.0	0	1	0	0	0	1	0	0	0	0	
forums	2	1	0	0.5	0.0	1	1	0	0	0	2	0	0	0	0	
anm3iy	1	1	0	1.0	0.0	0	1	0	0	0	1	0	0	0	0	
@miss31337	1	-1	0	-1.0	0.0	0	0	1	0	0	1	0	0	0	0	
belle	1	-1	0	-1.0	0.0	0	0	1	0	0	1	0	0	0	0	
@thereal_kdubb	1	1	-1	1.0	-1.0	0	1	0	0	0	1	0	0	0	0	
lock	2	1	-1	0.5	-0.5	1	1	0	0	0	2	0	0	0	0	
bust	3	1	1	0.33333334	0.33333334	1	2	0	0	0	2	0	1	0	0	
ima	7	1	1	0.14285715	0.14285715	0	7	0	0	0	4	2	1	0	0	
cook	2	2	-1	1.0	-0.5	0	1	1	0	0	2	0	0	0	0	
buttnekid	1	1	-1	1.0	-1.0	0	1	0	0	0	1	0	0	0	0	
ving	1	1	-1	1.0	-1.0	0	1	0	0	0	1	0	0	0	0	
rhames	1	1	-1	1.0	-1.0	0	1	0	0	0	1	0	0	0	0	
style	3	0	1	0.0	0.33333334	2	1	0	0	0	1	1	1	0	0	
thuglife	2	1	-1	0.5	-0.5	1	1	0	0	0	2	0	0	0	0	
willing	1	2	-1	2.0	-1.0	0	0	1	0	0	1	0	0	0	0	
pay	6	0	-2	0.0	-0.33333334	4	1	1	0	0	5	1	0	0	0	
renoth	1	2	-1	2.0	-1.0	0	0	1	0	0	1	0	0	0	0	
dork	2	-2	-3	-1.0	-1.5	1	0	1	0	0	1	1	0	0	0	
adamofficial	1	0	-1	0.0	-1.0	1	0	0	0	0	0	1	0	0	0	
lambert	1	0	-1	0.0	-1.0	1	0	0	0	0	0	1	0	0	0	
toronto	5	-2	-1	-0.4	-0.2	5	0	0	0	0	4	1	0	0	0	
snoring	2	0	-2	0.0	-1.0	2	0	0	0	0	2	0	0	0	0	
problem	8	-3	-2	-0.375	-0.25	6	2	0	0	0	4	4	0	0	0	
auctions	3	-1	-2	-0.33333334	-0.6666667	2	1	0	0	0	3	0	0	0	0	
livewellsite	1	0	-1	0.0	-1.0	1	0	0	0	0	1	0	0	0	0	
@yossit	1	0	0	0.0	0.0	0	0	1	0	0	0	1	0	0	0	
lookd	1	0	0	0.0	0.0	0	0	1	0	0	0	1	0	0	0	
haighs	1	0	0	0.0	0.0	0	0	1	0	0	0	1	0	0	0	
koko	1	0	0	0.0	0.0	0	0	1	0	0	0	1	0	0	0	
dove	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
men	12	-5	-2	-0.41666666	-0.16666667	7	4	1	0	0	10	1	1	0	0	
spot	5	-1	1	-0.2	0.2	4	1	0	0	0	4	1	0	0	0	
featured	2	-1	0	-0.5	0.0	2	0	0	0	0	2	0	0	0	0	
oprah	2	-1	0	-0.5	0.0	2	0	0	0	0	2	0	0	0	0	
auq0uj	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
pantomine	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
option	6	1	4	0.16666667	0.6666667	4	2	0	0	0	2	3	1	0	0	
choices	2	0	0	0.0	0.0	2	0	0	0	0	1	1	0	0	0	
footie	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
offs	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
ruin	3	2	0	0.6666667	0.0	1	0	1	1	0	0	3	0	0	0	
halfterm	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
jak	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
medlemsbank	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
9401152	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
abktgi	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@saoirse	1	0	-1	0.0	-1.0	0	0	1	0	0	1	0	0	0	0	
awkward	5	-1	0	-0.2	0.0	3	1	1	0	0	1	2	2	0	0	
qi	1	0	-1	0.0	-1.0	0	0	1	0	0	1	0	0	0	0	
applauded	1	0	-1	0.0	-1.0	0	0	1	0	0	1	0	0	0	0	
conversation	3	-2	-1	-0.6666667	-0.33333334	1	2	0	0	0	2	1	0	0	0	
goal	5	2	1	0.4	0.2	0	4	1	0	0	4	1	0	0	0	
@quentindill	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
basketball	5	-4	-1	-0.8	-0.2	4	1	0	0	0	5	0	0	0	0	
justin	32	-10	-8	-0.3125	-0.25	18	7	5	2	0	23	8	1	0	0	
mcdonald	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
apologizes	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
9vgpj	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
captain	1	0	-1	0.0	-1.0	1	0	0	0	0	0	1	0	0	0	
eo	1	0	-1	0.0	-1.0	1	0	0	0	0	0	1	0	0	0	
effects	2	0	-1	0.0	-0.5	2	0	0	0	0	0	1	1	0	0	
testing	4	-2	0	-0.5	0.0	3	1	0	0	0	2	2	0	0	0	
march	19	-5	-2	-0.2631579	-0.10526316	14	4	1	0	0	12	6	1	0	0	
april	7	3	0	0.42857143	0.0	4	0	3	0	0	5	2	0	0	0	
disneyland	2	0	-1	0.0	-0.5	2	0	0	0	0	1	1	0	0	0	
@innocentbells88	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
officialy	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
married	2	0	0	0.0	0.0	0	1	1	0	0	1	1	0	0	0	
@sexyjazwhit	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
@mrsbellswhit	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
smiles	4	-3	-6	-0.75	-1.5	0	3	1	0	0	3	1	0	0	0	
@dkmashino	1	-1	-1	-1.0	-1.0	0	1	0	0	0	0	1	0	0	0	
complained	1	-1	-1	-1.0	-1.0	0	1	0	0	0	0	1	0	0	0	
earlier	8	-5	-1	-0.625	-0.125	4	4	0	0	0	2	4	2	0	0	
:P	16	-8	0	-0.5	0.0	1	11	4	0	0	7	7	2	0	0	
@808helix	1	-1	-1	-1.0	-1.0	0	1	0	0	0	0	1	0	0	0	
@shadyoutkast	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
punks	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
fiddling	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
tap	2	0	1	0.0	0.5	2	0	0	0	0	1	1	0	0	0	
dancing	6	2	-3	0.33333334	-0.5	3	0	3	0	0	5	1	0	0	0	
sneak	3	-1	-1	-0.33333334	-0.33333334	2	1	0	0	0	2	0	1	0	0	
hella	3	0	2	0.0	0.6666667	1	1	1	0	0	0	2	1	0	0	
hungry	3	-1	2	-0.33333334	0.6666667	3	0	0	0	0	0	1	2	0	0	
brb	1	-1	1	-1.0	1.0	1	0	0	0	0	0	0	1	0	0	
@bwanapapyrus	1	0	0	0.0	0.0	0	0	1	0	0	1	0	0	0	0	
vicious	2	-1	-1	-0.5	-0.5	2	0	0	0	0	1	0	0	1	0	
kind	14	-7	0	-0.5	0.0	5	9	0	0	0	12	1	1	0	0	
ydb3slc	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@bellakeys	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
miami	3	-4	-3	-1.3333334	-1.0	2	1	0	0	0	2	0	1	0	0	
nc	2	-1	0	-0.5	0.0	1	1	0	0	0	2	0	0	0	0	
virus	1	-1	0	-1.0	0.0	0	1	0	0	0	1	0	0	0	0	
@ldbcasting	1	1	0	1.0	0.0	0	1	0	0	0	0	1	0	0	0	
saw	17	-5	-2	-0.29411766	-0.11764706	9	6	2	0	0	10	5	1	1	0	
reported	1	1	0	1.0	0.0	0	1	0	0	0	0	1	0	0	0	
originally	2	1	-1	0.5	-0.5	0	2	0	0	0	1	1	0	0	0	
bullock	2	1	0	0.5	0.0	0	2	0	0	0	1	1	0	0	0	
blindside	1	1	0	1.0	0.0	0	1	0	0	0	0	1	0	0	0	
declined	1	1	0	1.0	0.0	0	1	0	0	0	0	1	0	0	0	
talked	5	-2	0	-0.4	0.0	2	2	1	0	0	3	2	0	0	0	
dn't	1	0	0	0.0	0.0	0	0	1	0	0	0	1	0	0	0	
bella	2	-1	0	-0.5	0.0	2	0	0	0	0	2	0	0	0	0	
swan	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
cn9wl0	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
packed	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
vegas	3	0	0	0.0	0.0	3	0	0	0	0	2	1	0	0	0	
@acronkyoung	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
literally	3	-1	0	-0.33333334	0.0	1	2	0	0	0	1	2	0	0	0	
edit	2	-1	0	-0.5	0.0	1	0	1	0	0	2	0	0	0	0	
write	12	0	1	0.0	0.083333336	6	3	3	0	0	10	2	0	0	0	
@richrollin	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
niggaz	3	-1	1	-0.33333334	0.33333334	1	2	0	0	0	2	1	0	0	0	
fuckin	2	-1	2	-0.5	1.0	1	1	0	0	0	1	0	1	0	0	
bliss	1	-2	0	-2.0	0.0	0	0	1	0	0	1	0	0	0	0	
gorgeous	6	-7	0	-1.1666666	0.0	1	1	4	0	0	6	0	0	0	0	
prize	4	-2	0	-0.5	0.0	0	2	1	1	0	3	0	1	0	0	
@thatbrand	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
knows	2	-2	0	-1.0	0.0	1	1	0	0	0	2	0	0	0	0	
@cathobatho	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
mouthfuls	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
dubious	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
tasting	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
beehoon	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
neighbour	2	0	0	0.0	0.0	1	1	0	0	0	0	2	0	0	0	
@dougiedoug53	1	0	0	0.0	0.0	0	1	0	0	0	1	0	0	0	0	
tweeting	5	0	1	0.0	0.2	3	1	1	0	0	1	4	0	0	0	
realistic	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
robo	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
creatures	2	-1	3	-0.5	1.5	1	0	1	0	0	1	0	0	1	0	
dcetp5	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@soopa	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
moved	7	-3	3	-0.42857143	0.42857143	6	1	0	0	0	2	3	2	0	0	
chichory	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
stout	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
dogfish	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
helps	4	2	-2	0.5	-0.5	1	3	0	0	0	4	0	0	0	0	
became	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
mayor	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
mark's	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
@foursquare	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
4sq	12	-2	0	-0.16666667	0.0	10	2	0	0	0	12	0	0	0	0	
almwgs	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
howtobeaman	2	-1	1	-0.5	0.5	0	1	1	0	0	0	2	0	0	0	
cheat	1	0	1	0.0	1.0	0	1	0	0	0	0	1	0	0	0	
honest	3	-2	0	-0.6666667	0.0	2	1	0	0	0	0	2	1	0	0	
balls	5	0	0	0.0	0.0	3	2	0	0	0	3	2	0	0	0	
truth	8	-1	2	-0.125	0.25	2	5	1	0	0	5	2	1	0	0	
infowars	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
warning	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
nation	5	0	0	0.0	0.0	5	0	0	0	0	5	0	0	0	0	
ur1	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
m7m5	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
voted	9	-6	-2	-0.6666667	-0.22222222	7	2	0	0	0	9	0	0	0	0	
outfits	2	-1	0	-0.5	0.0	2	0	0	0	0	2	0	0	0	0	
awpkz	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
cheer	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
dance	13	-9	0	-0.6923077	0.0	7	2	3	1	0	11	2	0	0	0	
newsbuzer	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
lightning	2	0	1	0.0	0.5	2	0	0	0	0	1	1	0	0	0	
ot	2	1	0	0.5	0.0	1	0	1	0	0	2	0	0	0	0	
acme	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
packet	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
waste	9	3	-2	0.33333334	-0.22222222	5	3	1	0	0	3	4	1	1	0	
ye88clp	1	0	0	0.0	0.0	1	0	0	0	0	1	0	0	0	0	
@dataddiction	1	0	0	0.0	0.0	1	0	0	0	0	0	1	0	0	0	
skype	3	-2	0	-0.6666667	0.0	3	0	0	0	0	2	1	0	0	0	
valencia	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
mtv	2	-1	0	-0.5	0.0	2	0	0	0	0	2	0	0	0	0	
festival	7	-2	0	-0.2857143	0.0	6	0	1	0	0	7	0	0	0	0	
arctic	1	-1	0	-1.0	0.0	1	0	0	0	0	1	0	0	0	0	
